year,park,visits
2017,Lassen Volcanic National Park,507256
2017,Mammoth Cave National Park,587853
2017,Mesa Verde National Park,613788
2017,Mount Rainier National Park,1415867
2017,New River Gorge National Park & Preserve,1168658
2017,North Cascades National Park,30326
2017,Olympic National Park,3401996
2017,Petrified Forest National Park,627757
2017,Pinnacles National Park,233334
2017,Redwood National Park,445000
2017,Rock Creek Park,2483788
2017,Rocky Mountain National Park,4437215
2017,Saguaro National Park,964760
2017,Sequoia National Park,1291256
2017,Shenandoah National Park,1458874
2017,Theodore Roosevelt National Park,708003
2017,Virgin Islands National Park,304408
2017,Voyageurs National Park,237250
2017,White Sands National Park,612468
2017,Wind Cave National Park,619924
2017,Wrangell-St. Elias National Park & Preserve,68292
2017,Yellowstone National Park,4116524
2017,Yosemite National Park,4336890
2017,Zion National Park,4504812
2018,Acadia National Park,3537575
2018,Arches National Park,1663557
2018,Badlands National Park,1008942
2018,Big Bend National Park,440091
2018,Biscayne National Park,469253
2018,Black Canyon of the Gunnison National Park,308962
2018,Bryce Canyon National Park,2679478
2018,Canyonlands National Park,739449
2018,Capitol Reef National Park,1227627
2018,Carlsbad Caverns National Park,465912
2018,Channel Islands National Park,366250
2018,Congaree National Park,145929
2018,Crater Lake National Park,720659
2018,Cuyahoga Valley National Park,2096053
2018,Death Valley National Park,1678660
2018,Denali National Park & Preserve,594660
2018,Dry Tortugas National Park,56810
2018,Everglades National Park,597124
2018,Gates of the Arctic National Park & Preserve,9591
2018,Gateway Arch National Park,2016180
2018,Glacier Bay National Park & Preserve,597915
2018,Glacier National Park,2965309
2018,Grand Canyon National Park,6380495
2018,Grand Teton National Park,3491151
2018,Great Basin National Park,153094
2018,Great Sand Dunes National Park & Preserve,442905
2018,Great Smoky Mountains National Park,11421200
2018,Guadalupe Mountains National Park,172347
2018,Haleakala National Park,1044084
2018,Hawaii Volcanoes National Park,1116891
2018,Hot Springs National Park,1506887
2018,Indiana Dunes National Park,1756079
2018,Isle Royale National Park,25798
2018,Joshua Tree National Park,2942382
2018,Katmai National Park & Preserve,37818
2018,Kenai Fjords National Park,321596
2018,Kings Canyon National Park,699023
2018,Kobuk Valley National Park,14937
2018,Lake Clark National Park & Preserve,14479
2018,Lassen Volcanic National Park,499435
2018,Mammoth Cave National Park,533206
2018,Mesa Verde National Park,563420
2018,Mount Rainier National Park,1518491
2018,New River Gorge National Park & Preserve,1232627
2018,North Cascades National Park,30085
2018,Olympic National Park,3104455
2018,Petrified Forest National Park,644922
2018,Pinnacles National Park,222152
2018,Redwood National Park,482536
2018,Rock Creek Park,2395342
2018,Rocky Mountain National Park,4590493
2018,Saguaro National Park,957405
2018,Sequoia National Park,1229594
2018,Shenandoah National Park,1264880
2018,Theodore Roosevelt National Park,749389
2018,Virgin Islands National Park,112287
2018,Voyageurs National Park,239656
2018,White Sands National Park,603008
2018,Wind Cave National Park,656397
2018,Wrangell-St. Elias National Park & Preserve,79450
2018,Yellowstone National Park,4115000
2018,Yosemite National Park,4009436
2018,Zion National Park,4320033
2019,Acadia National Park,3437286
2019,Arches National Park,1659702
2019,Badlands National Park,970998
2019,Big Bend National Park,463832
2019,Biscayne National Park,708522
2019,Black Canyon of the Gunnison National Park,432818
2019,Bryce Canyon National Park,2594904
2019,Canyonlands National Park,733996
2019,Capitol Reef National Park,1226519
2019,Carlsbad Caverns National Park,440691
2019,Channel Islands National Park,409630
2019,Congaree National Park,159445
2019,Crater Lake National Park,704512
2019,Cuyahoga Valley National Park,2237997
2019,Death Valley National Park,1740945
2019,Denali National Park & Preserve,601152
2019,Dry Tortugas National Park,79200
2019,Everglades National Park,1118300
2019,Gates of the Arctic National Park & Preserve,10518
2019,Gateway Arch National Park,2055309
2019,Glacier Bay National Park & Preserve,672087
2019,Glacier National Park,3049839
2019,Grand Canyon National Park,5974411
2019,Grand Teton National Park,3405614
2019,Great Basin National Park,131802
